country,name,full_name,,tag,id,isin,symbol,currency,stock_exchange,def_stock_exchange
united kingdom,Bitcoin Tracker One XBT,Bitcoin Tracker One XBT Provider,,bitcoin-tracker-one-xbt,1057733,SE0007126024,O2XU,SEK,London,TRUE
united states,AAM S&P 500 Sector High Dividend,AAM S&P 500 Sector High Dividend,,aam-sp-500-sector-high-dividend,1056178,US26922A5948,SPDV,USD,NYSE,TRUE
united states,AAM S&P EM Sector High Dividend,AAM S&P Emerging Markets Sector High Dividend,,aam-sp-em-sector-high-dividend,1056177,US26922A5864,EEMD,USD,NYSE,TRUE
united states,The Acquirers Fund,The Acquirers Fund ETF,,the-acquirers-fund,1131585,US26922A2630,ZIG,USD,NYSE,TRUE
united states,Ranger Equity Bear,Ranger Equity Bear,,advisorshares-active-bear,45032,US00768Y8839,HDGE,USD,NYSE,TRUE
united states,AdvisorShares Dorsey Wright Short,AdvisorShares Dorsey Wright Short,,advisorshares-dorsey-wright-short,1089280,US00768Y5298,DWSH,USD,NASDAQ,TRUE
united states,AdvisorShares Pure Cannabis,AdvisorShares Pure Cannabis,,advisorshares-pure-cannabis,1129326,US00768Y4952,YOLO,USD,NYSE,TRUE
united states,AdvisorShares Focused Equity,AdvisorShares Focused Equity,,advisorshares-focused-equity,1014117,US00768Y5603,CWS,USD,NYSE,TRUE
united states,WCM/BNY Mellon Focused Growth ADR,WCM/BNY Mellon Focused Growth ADR,,wcm-bny-mellon-focused-growth-adr,44745,US00768Y2063,AADR,USD,NYSE,TRUE
united states,Peritus High Yield,Peritus High Yield,,peritus-high-yield-etf,37438,US30151E8140,HYLD,USD,NYSE,TRUE
united states,Newfleet Multi-Sector Income,Newfleet Multi-Sector Income,,advisorshares-newfleet-mult-sect,941530,US00768Y7278,MINC,USD,NYSE,TRUE
united states,AdvisorShares Vice ETF,AdvisorShares Vice ETF,,advisorshares-vice,1056997,US00768Y5454,ACT,USD,NASDAQ,TRUE
united states,AdvisorShares Pacific Asset Enhanced Fl Rate,AdvisorShares Pacific Asset Enhanced Fl Rate,,advisorshares-pacific-asset-enhance,949537,US00768Y5942,FLRT,USD,NYSE,TRUE
united states,AdvisorShares Wilshire Buyback,AdvisorShares DoubleLine Value Equity ETF,,advisorshares-trimtabs-flt-shrink,45034,US00768Y8185,DBLV,USD,NYSE,TRUE
united states,AdvisorShares Sage Core Reserves,AdvisorShares Sage Core Reserves,,advisorshares-sage-core-reserves,962025,US00768Y6510,HOLD,USD,NYSE,TRUE
united states,Madrona Global Bond,Madrona Global Bond,,advisorshares-madrona-global-bond,37434,US00768Y8342,FWDB,USD,NYSE,TRUE
united states,AdvisorShares Dorsey Wright Micro-Cap,AdvisorShares Dorsey Wright Micro-Cap,,advisorshares-dorseywright-microcap,1089279,US00768Y5371,DWMC,USD,NASDAQ,TRUE
united states,AdvisorShares Cornerstone Small Cap,AdvisorShares Cornerstone Small Cap,,advisorshares-cornerstone-small-cap,996382,US00768Y5868,SCAP,USD,NYSE,TRUE
united states,Star Global Buy-Write,Star Global Buy-Write,,star-global-buy-write,38158,US00768Y7682,VEGA,USD,NYSE,TRUE
united states,AdvisorShares New Tech and Media,AdvisorShares New Tech and Media,,advisorshrs-new-tech-media,1054664,US00768Y5520,FNG,USD,NYSE,TRUE
united states,AdvisorShares Sabretooth Digital Ledger,AdvisorShares Sabretooth ETF,,advisorshares-sabretooth-digiledger,1122466,US00768Y5116,BKCH,USD,NASDAQ,TRUE
united states,Anfield Universal Fixed Income,Anfield Universal Fixed Income ETF,,anfield-universal-fixed-income,1096222,US90214Q7667,AFIF,USD,NYSE,TRUE
united states,AGFiQ Global Infrastructure,AGFiQ Global Infrastructure ETF,,agfiq-global-infrastructure,1135917,US3516807563,GLIF,USD,NYSE,TRUE
united states,AGFiQ Dynamic Hedged U.S. Equity,AGFiQ Dynamic Hedged U.S. Equity ETF,,agfiq-dynamic-hedged-us-equity,1135921,US3516807498,USHG,USD,NYSE,TRUE
united states,Alpha Architect Value Momentum Trend,Alpha Architect Value Momentum Trend,,alpha-architect-value-mom-trend,1013251,US02072L5084,VMOT,USD,NYSE,TRUE
united states,MomentumShares U.S. Quantitative Momentum,MomentumShares U.S. Quantitative Momentum,,momentumshares-us-quant-mom,1014139,US02072L4095,QMOM,USD,NYSE,TRUE
